"Bookstore","City","State","Outside 2021","Walkscore","Walkscore Description","Bike Score","Bike Score Description","Transit Score","Transit Score Description"
"Sherman's Books & Stationery (Portland)","Portland","ME","",99,"Walker's Paradise",78,"Very Bikeable",53,"Good Transit"
"Treehouse Toys (ME)","Portland","ME","",99,"Walker's Paradise",78,"Very Bikeable",53,"Good Transit"
"PRINT: A Bookstore","Portland","ME","",98,"Walker's Paradise",82,"Very Bikeable",52,"Good Transit"
"The Green Hand Bookshop","Portland","ME","",96,"Walker's Paradise",95,"Biker's Paradise",52,"Good Transit"
"Longfellow Books","Portland","ME","",84,"Very Walkable",87,"Very Bikeable",40,"Some Transit"
"Bull Moose Mill Creek","South Portland","ME","",80,"Very Walkable",95,"Biker's Paradise",28,"Some Transit"
"Bull Moose","Portland","ME","",71,"Very Walkable",67,"Bikeable",35,"Some Transit"
"Letterpress Books","Portland","ME","",57,"Somewhat Walkable",71,"Very Bikeable",32,"Some Transit"
"The Book Review","Falmouth","ME","",47,"Car-Dependent",49,"Somewhat Bikeable",0,""
"Kelly's Books To Go","South Portland","ME","",46,"Car-Dependent",56,"Bikeable",21,"Minimal Transit"
"Bull Moose Scarborough","Scarborough","ME","",34,"Car-Dependent",54,"Bikeable",0,""
"G.Willikers! Toy Shop","Portsmouth","NH","",95,"Walker's Paradise",65,"Bikeable",0,""
"RiverRun Bookstore","Portsmouth","NH","",94,"Walker's Paradise",65,"Bikeable",0,""
"The Bookery Manchester","Manchester","NH","",94,"Walker's Paradise",54,"Bikeable",0,""
"Treehouse Toys (NH)","Portsmouth","NH","",93,"Walker's Paradise",62,"Bikeable",0,""
"Sheafe Street Books","Portsmouth","NH","",90,"Very Walkable",63,"Bikeable",0,""
"Water Street Bookstore","Exeter","NH","",69,"Somewhat Walkable",53,"Bikeable",0,""
"The Toadstool Bookshop (Nashua)","Nashua","NH","",58,"Somewhat Walkable",45,"Somewhat Bikeable",0,""
"Crow Bookshop","Burlington","VT","",98,"Walker's Paradise",94,"Biker's Paradise",49,"Some Transit"
"Phoenix Books Burlington","Burlington","VT","",97,"Walker's Paradise",91,"Biker's Paradise",49,"Some Transit"
"The Flying Pig Bookstore","Shelburne","VT","",49,"Car-Dependent",41,"Somewhat Bikeable",0,""
"Phoenix Books (VT)","Essex Junction","VT","",45,"Car-Dependent",62,"Bikeable",0,""
"I AM Books, Inc.","Boston","MA","",100,"Walker's Paradise",89,"Very Bikeable",100,"Rider's Paradise"
"Pandemonium Books & Games","Cambridge","MA","",99,"Walker's Paradise",99,"Biker's Paradise",73,"Excellent Transit"
"Wicked Good Books","Salem","MA","",99,"Walker's Paradise",81,"Very Bikeable",42,"Some Transit"
"Wild Child","Somerville","MA","",98,"Walker's Paradise",99,"Biker's Paradise",54,"Good Transit"
"Grolier Poetry Book Shop","Cambridge","MA","",98,"Walker's Paradise",97,"Biker's Paradise",81,"Excellent Transit"
"Harvard Book Store","Cambridge","MA","",98,"Walker's Paradise",97,"Biker's Paradise",81,"Excellent Transit"
"Brookline Booksmith","Brookline","MA","",98,"Walker's Paradise",88,"Very Bikeable",74,"Excellent Transit"
"Trident Booksellers & Cafe (MA)","Boston","MA","",98,"Walker's Paradise",87,"Very Bikeable",93,"Rider's Paradise"
"More Than Words","Boston","MA","",98,"Walker's Paradise",79,"Very Bikeable",96,"Rider's Paradise"
"LALA Books","Lowell","MA","",98,"Walker's Paradise",49,"Somewhat Bikeable",41,"Some Transit"
"Porter Square Books","Cambridge","MA","",97,"Walker's Paradise",99,"Biker's Paradise",72,"Excellent Transit"
"BookLink Booksellers Inc.","Northampton","MA","",97,"Walker's Paradise",95,"Biker's Paradise",40,"Some Transit"
"Broadside Bookshop","Northampton","MA","",97,"Walker's Paradise",92,"Biker's Paradise",40,"Some Transit"
"The Children's Book Shop","Brookline","MA","",96,"Walker's Paradise",96,"Biker's Paradise",77,"Excellent Transit"
"Copper Dog Books","Beverly","MA","",95,"Walker's Paradise",58,"Bikeable",0,""
"Bedlam Book Cafe","Worcester","MA","",95,"Walker's Paradise",57,"Bikeable",58,"Good Transit"
"Frugal Bookstore","Roxbury","MA","",94,"Walker's Paradise",76,"Very Bikeable",87,"Excellent Transit"
"Smith College - Grecourt Bookshop","Northampton","MA","",92,"Walker's Paradise",88,"Very Bikeable",40,"Some Transit"
"More Than Words (Waltham)","Waltham","MA","",91,"Walker's Paradise",79,"Very Bikeable",44,"Some Transit"
"Papercuts J.P.","Boston","MA","",90,"Very Walkable",95,"Biker's Paradise",75,"Excellent Transit"
"Newtonville Books","Newton","MA","",89,"Very Walkable",59,"Bikeable",52,"Good Transit"
"Amherst Books","Amherst","MA","",89,"Very Walkable",57,"Bikeable",0,""
"The Book Rack (MA)","Arlington","MA","",86,"Very Walkable",92,"Biker's Paradise",52,"Good Transit"
"Book Ends Winchester","Winchester","MA","",86,"Very Walkable",77,"Very Bikeable",0,""
"The Book Oasis","Stoneham","MA","",85,"Very Walkable",70,"Very Bikeable",24,"Minimal Transit"
"UMass Lowell Campus Bookstore","Lowell","MA","",85,"Very Walkable",56,"Bikeable",32,"Some Transit"
"The MIT Press Bookstore","Cambridge","MA","",84,"Very Walkable",98,"Biker's Paradise",70,"Excellent Transit"
"inSpirit: The UU Book and Gift Shop","Boston","MA","",82,"Very Walkable",79,"Very Bikeable",98,"Rider's Paradise"
"Park Street Books & Toys","Medfield","MA","",81,"Very Walkable",50,"Bikeable",0,""
"Whitelam Books","Reading","MA","",80,"Very Walkable",50,"Bikeable",0,""
"Word on the Street (MA)","Marlborough","MA","",80,"Very Walkable",48,"Somewhat Bikeable",0,""
"Maxima Gift Center","Arlington","MA","",79,"Very Walkable",96,"Biker's Paradise",53,"Good Transit"
"All She Wrote Books","Somerville","MA","",79,"Very Walkable",78,"Very Bikeable",66,"Good Transit"
"Book Moon","Easthampton","MA","",78,"Very Walkable",70,"Very Bikeable",0,""
"TidePool Bookshop","Worcester","MA","",78,"Very Walkable",50,"Bikeable",35,"Some Transit"
"Wellesley Books","Wellesley","MA","",78,"Very Walkable",43,"Somewhat Bikeable",0,""
"Porter Square Books: Boston Edition","Boston","MA","",77,"Very Walkable",71,"Very Bikeable",91,"Rider's Paradise"
"The Blue Bunny, Books and Toys","Dedham","MA","",77,"Very Walkable",50,"Bikeable",41,"Some Transit"
"Escape Into Fiction","Franklin","MA","",76,"Very Walkable",47,"Somewhat Bikeable",0,""
"Rozzie Bound","Boston","MA","",76,"Very Walkable",37,"Somewhat Bikeable",58,"Good Transit"
"The Concord Bookshop","Concord","MA","",70,"Somewhat Walkable",63,"Bikeable",0,""
"Belmont Books","Belmont","MA","",69,"Somewhat Walkable",67,"Bikeable",41,"Some Transit"
"UMass Boston Bookstore","Dorchester","MA","",63,"Somewhat Walkable",63,"Bikeable",63,"Good Transit"
"Big Bear Used Books and Cafe","Easthampton","MA","",62,"Somewhat Walkable",56,"Bikeable",0,""
"Annie's Book Stop of Worcester","Worcester","MA","",57,"Somewhat Walkable",50,"Bikeable",33,"Some Transit"
"Odyssey Bookshop","South Hadley","MA","",56,"Somewhat Walkable",36,"Somewhat Bikeable",0,""
"High Five Books","Florence","MA","",55,"Somewhat Walkable",93,"Biker's Paradise",26,"Some Transit"
"Boston College Bookstore","Chestnut Hill","MA","",54,"Somewhat Walkable",40,"Somewhat Bikeable",53,"Good Transit"
